SuperWEB2(tm)

"Census 2022-Person-2Cv1"
"Scotland's Census 2022 - National Records of Scotland Table UV201 - Ethnic group  All people "
"Intermediate Zone - Data Zone 2011 by Ethnic Group by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Ethnic Group","All People","White: Total","White: White Scottish","White: Other White British","White: White Irish","White: Gypsy/ Traveller","White: White Polish","Other White","Mixed or multiple ethnic group","Asian, Asian Scottish or Asian British: Total","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian","African: Total","African: African, African Scottish or African British","African: Other African","Caribbean or Black: Total","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British","Caribbean or Black: Other Caribbean or Black","Other ethnic groups: Total","Other ethnic groups: Arab, Arab Scottish or Arab British","Other ethnic groups: Other ethnic group",
"Intermediate Zone - Data Zone 2011",
"S01006582",884,606,416,60,13,0,38,80,26,49,7,13,1,13,15,183,15,164,7,3,0,4,18,4,16,
"S01006583",873,731,545,59,28,0,37,61,22,42,6,21,4,3,10,63,1,62,5,1,1,3,11,3,8,
"S01006584",609,490,317,63,6,0,19,85,14,41,9,19,1,8,8,25,0,25,3,4,0,1,30,13,19,
"S01006585",828,598,418,39,8,0,45,86,22,58,3,22,2,24,4,99,3,96,12,8,0,4,42,31,9,
"S01006586",1179,902,589,136,16,0,32,130,24,121,12,36,15,34,24,95,2,93,2,2,0,0,35,17,21,
"S01006587",605,454,276,57,13,0,44,64,9,45,3,25,6,6,5,76,4,72,3,3,0,1,18,6,12,
"S01006588",626,424,281,46,6,0,42,52,22,40,2,19,2,7,7,107,6,104,2,0,0,2,31,20,8,
"S01006589",614,447,262,52,13,1,37,81,12,39,4,18,3,11,10,94,4,88,1,0,0,1,19,9,10,
"S01006590",737,582,365,89,7,0,15,100,10,56,3,18,14,11,10,53,3,50,12,8,3,0,24,11,13,
"S01006591",668,518,385,37,14,1,24,57,22,56,6,25,1,8,11,59,1,57,0,0,0,0,12,4,8,
"S01006592",633,485,350,69,9,0,17,40,13,65,4,32,0,16,12,61,3,58,1,1,0,0,8,5,7,
"S01006593",615,525,380,65,12,0,8,60,14,41,17,9,3,5,9,22,3,21,2,0,0,2,6,0,4,
"S01006594",498,432,360,37,9,0,6,22,7,24,5,11,0,0,4,30,0,30,4,2,0,2,5,2,4,
"S01006595",849,706,537,65,19,0,15,70,11,55,3,24,10,13,5,45,4,39,5,4,0,1,25,10,15,
"S01006596",745,663,506,77,9,0,10,58,10,35,3,11,7,0,15,33,1,32,0,0,0,0,4,0,4,
"S01006597",437,391,275,35,6,0,12,64,5,7,0,0,0,6,1,25,0,25,3,3,0,0,6,1,5,
"S01006598",839,737,572,106,8,0,5,49,13,17,0,1,0,5,11,37,2,35,2,2,0,2,33,29,4,
"S01006599",786,681,546,64,11,0,20,46,15,22,2,5,2,5,10,56,1,55,1,0,0,1,11,6,8,
"S01006600",1087,963,781,75,15,0,26,66,18,47,12,23,1,4,10,39,3,36,2,2,0,0,17,8,5,
"S01006601",895,741,624,54,3,1,15,45,20,54,11,27,0,7,9,57,0,57,5,0,0,5,18,8,10,
"S01006602",796,729,553,107,20,0,12,35,20,28,0,7,0,12,5,10,0,9,0,0,0,0,7,4,0,
"S01006603",651,586,468,26,2,0,56,34,6,22,0,18,0,0,4,22,4,21,0,0,0,0,11,2,10,
"S01006604",613,571,465,24,4,0,33,44,6,25,3,6,13,0,4,8,3,3,1,1,0,0,1,0,1,
"S01006605",670,604,497,32,1,0,39,32,12,16,10,1,0,1,4,30,4,26,0,0,0,0,11,9,5,
"S01006606",767,738,644,59,4,1,17,18,6,13,3,0,0,5,4,6,0,6,0,0,0,0,4,0,3,
"S01006607",847,808,712,24,6,5,36,28,8,9,2,0,6,0,2,19,2,17,4,1,0,1,1,0,1,
"S01006608",2410,2069,1785,140,14,1,57,72,36,149,15,99,2,19,13,117,9,109,6,4,0,4,33,18,11,
"S01006609",879,853,720,24,6,0,67,36,7,14,5,0,0,2,5,5,0,5,2,0,0,2,1,0,1,
"S01006610",461,433,366,11,0,0,40,15,6,5,0,0,0,1,4,16,4,12,0,0,0,0,1,0,1,
"S01006611",886,836,652,40,4,0,101,36,5,16,0,2,0,4,11,28,5,23,1,0,0,1,0,0,0,
